Stop_Name,Route_short_name,Direction,Rolling Hour,Average Load 2017,Average Maximum Capacity 2017
0-Bourke St/Spring St (Melbourne City),86,West Bound, 7:01-8:00,67.2,159
0-Bourke St/Spring St (Melbourne City),86,West Bound, 7:31-8:30,91.5,155.2
0-Bourke St/Spring St (Melbourne City),86,West Bound, 8:01-9:00,101.8,152
0-Bourke St/Spring St (Melbourne City),86,West Bound, 8:31-9:30,88.4,149.6
0-Bourke St/Spring St (Melbourne City),86,West Bound, 9:01-10:00,65.1,157
0-Bourke St/Spring St (Melbourne City),96,West Bound, 7:01-8:00,67.2,159
0-Bourke St/Spring St (Melbourne City),96,West Bound, 7:31-8:30,91.5,155.2
0-Bourke St/Spring St (Melbourne City),96,West Bound, 8:01-9:00,101.8,152
0-Bourke St/Spring St (Melbourne City),96,West Bound, 8:31-9:30,88.4,149.6
0-Bourke St/Spring St (Melbourne City),96,West Bound, 9:01-10:00,65.1,157
0-Bourke St/Spring St (Melbourne City),86,East Bound,16:01-17:00,68.9,159
0-Bourke St/Spring St (Melbourne City),86,East Bound,16:31-17:30,80.2,157.8
0-Bourke St/Spring St (Melbourne City),86,East Bound,17:01-18:00,94.5,154.8
0-Bourke St/Spring St (Melbourne City),86,East Bound,17:31-18:30,95.4,156.2
0-Bourke St/Spring St (Melbourne City),86,East Bound,18:01-19:00,77.3,154.1
0-Bourke St/Spring St (Melbourne City),96,East Bound,16:01-17:00,68.9,159
0-Bourke St/Spring St (Melbourne City),96,East Bound,16:31-17:30,80.2,157.8
0-Bourke St/Spring St (Melbourne City),96,East Bound,17:01-18:00,94.5,154.8
0-Bourke St/Spring St (Melbourne City),96,East Bound,17:31-18:30,95.4,156.2
0-Bourke St/Spring St (Melbourne City),96,East Bound,18:01-19:00,77.3,154.1
124A-Casino/MCEC/Clarendon St (Southbank),12,North Bound, 7:01-8:00,41.2,65
124A-Casino/MCEC/Clarendon St (Southbank),12,North Bound, 7:31-8:30,58.6,65
124A-Casino/MCEC/Clarendon St (Southbank),12,North Bound, 8:01-9:00,62.8,65
124A-Casino/MCEC/Clarendon St (Southbank),12,North Bound, 8:31-9:30,52.7,65
124A-Casino/MCEC/Clarendon St (Southbank),12,North Bound, 9:01-10:00,37.6,65
124A-Casino/MCEC/Clarendon St (Southbank),96,North Bound, 7:01-8:00,54.1,175.3
124A-Casino/MCEC/Clarendon St (Southbank),96,North Bound, 7:31-8:30,91,173.5
124A-Casino/MCEC/Clarendon St (Southbank),96,North Bound, 8:01-9:00,117.5,173.5
124A-Casino/MCEC/Clarendon St (Southbank),96,North Bound, 8:31-9:30,94.7,174
124A-Casino/MCEC/Clarendon St (Southbank),96,North Bound, 9:01-10:00,69.1,172
124A-Casino/MCEC/Clarendon St (Southbank),109,North Bound, 7:01-8:00,57.2,107.5
124A-Casino/MCEC/Clarendon St (Southbank),109,North Bound, 7:31-8:30,69.6,110
124A-Casino/MCEC/Clarendon St (Southbank),109,North Bound, 8:01-9:00,73.7,110
124A-Casino/MCEC/Clarendon St (Southbank),109,North Bound, 8:31-9:30,66,108
124A-Casino/MCEC/Clarendon St (Southbank),109,North Bound, 9:01-10:00,40.5,108
124A-Casino/MCEC/Clarendon St (Southbank),12,South Bound,16:01-17:00,46.1,65
124A-Casino/MCEC/Clarendon St (Southbank),12,South Bound,16:31-17:30,49.7,65
124A-Casino/MCEC/Clarendon St (Southbank),12,South Bound,17:01-18:00,57.5,65
124A-Casino/MCEC/Clarendon St (Southbank),12,South Bound,17:31-18:30,60,65.2
124A-Casino/MCEC/Clarendon St (Southbank),12,South Bound,18:01-19:00,53.5,65.2
124A-Casino/MCEC/Clarendon St (Southbank),96,South Bound,16:01-17:00,67,172.2
124A-Casino/MCEC/Clarendon St (Southbank),96,South Bound,16:31-17:30,81.3,172.5
124A-Casino/MCEC/Clarendon St (Southbank),96,South Bound,17:01-18:00,104.2,171.9
124A-Casino/MCEC/Clarendon St (Southbank),96,South Bound,17:31-18:30,119.3,172.1
124A-Casino/MCEC/Clarendon St (Southbank),96,South Bound,18:01-19:00,107.5,178.8
124A-Casino/MCEC/Clarendon St (Southbank),109,South Bound,16:01-17:00,46.4,110.5
124A-Casino/MCEC/Clarendon St (Southbank),109,South Bound,16:31-17:30,46.8,110
124A-Casino/MCEC/Clarendon St (Southbank),109,South Bound,17:01-18:00,51.3,108.3
124A-Casino/MCEC/Clarendon St (Southbank),109,South Bound,17:31-18:30,62.1,106.7
124A-Casino/MCEC/Clarendon St (Southbank),109,South Bound,18:01-19:00,55.4,108.3
D14-Southern Cross Station/Collins St (Docklands),11,East Bound, 7:01-8:00,23.2,138.6
D14-Southern Cross Station/Collins St (Docklands),11,East Bound, 7:31-8:30,40.3,135.7
D14-Southern Cross Station/Collins St (Docklands),11,East Bound, 8:01-9:00,51.2,135.9
D14-Southern Cross Station/Collins St (Docklands),11,East Bound, 8:31-9:30,41.4,133.8
D14-Southern Cross Station/Collins St (Docklands),11,East Bound, 9:01-10:00,33,131.8
D14-Southern Cross Station/Collins St (Docklands),48,East Bound, 7:01-8:00,23.2,138.6
D14-Southern Cross Station/Collins St (Docklands),48,East Bound, 7:31-8:30,40.3,135.7
D14-Southern Cross Station/Collins St (Docklands),48,East Bound, 8:01-9:00,51.2,135.9
D14-Southern Cross Station/Collins St (Docklands),48,East Bound, 8:31-9:30,41.4,133.8
D14-Southern Cross Station/Collins St (Docklands),48,East Bound, 9:01-10:00,33,131.8
D14-Southern Cross Station/Collins St (Docklands),11,East Bound,16:01-17:00,82.8,140.3
D14-Southern Cross Station/Collins St (Docklands),11,East Bound,16:31-17:30,101.6,143.2
D14-Southern Cross Station/Collins St (Docklands),11,East Bound,17:01-18:00,108.5,129.3
D14-Southern Cross Station/Collins St (Docklands),11,East Bound,17:31-18:30,81.9,122.1
D14-Southern Cross Station/Collins St (Docklands),11,East Bound,18:01-19:00,59.9,135.2
D14-Southern Cross Station/Collins St (Docklands),48,East Bound,16:01-17:00,82.8,140.3
D14-Southern Cross Station/Collins St (Docklands),48,East Bound,16:31-17:30,101.6,143.2
D14-Southern Cross Station/Collins St (Docklands),48,East Bound,17:01-18:00,108.5,129.3
D14-Southern Cross Station/Collins St (Docklands),48,East Bound,17:31-18:30,81.9,122.1
D14-Southern Cross Station/Collins St (Docklands),48,East Bound,18:01-19:00,59.9,135.2
D14-Southern Cross Station/Collins St (Docklands),11,West Bound, 7:01-8:00,45,136.2
D14-Southern Cross Station/Collins St (Docklands),11,West Bound, 7:31-8:30,62,130.2
D14-Southern Cross Station/Collins St (Docklands),11,West Bound, 8:01-9:00,75,133.9
D14-Southern Cross Station/Collins St (Docklands),11,West Bound, 8:31-9:30,67.5,132.7
D14-Southern Cross Station/Collins St (Docklands),11,West Bound, 9:01-10:00,56,131.7
D14-Southern Cross Station/Collins St (Docklands),48,West Bound, 7:01-8:00,45,136.2
D14-Southern Cross Station/Collins St (Docklands),48,West Bound, 7:31-8:30,62,130.2
D14-Southern Cross Station/Collins St (Docklands),48,West Bound, 8:01-9:00,75,133.9
D14-Southern Cross Station/Collins St (Docklands),48,West Bound, 8:31-9:30,67.5,132.7
D14-Southern Cross Station/Collins St (Docklands),48,West Bound, 9:01-10:00,56,131.7
D6-Flinders Street West/637 Flinders St (Docklands),30,East Bound, 7:01-8:00,9.7,95
D6-Flinders Street West/637 Flinders St (Docklands),30,East Bound, 7:31-8:30,19.4,91.7
D6-Flinders Street West/637 Flinders St (Docklands),30,East Bound, 8:01-9:00,24.9,94
D6-Flinders Street West/637 Flinders St (Docklands),30,East Bound, 8:31-9:30,22.8,95
D6-Flinders Street West/637 Flinders St (Docklands),30,East Bound, 9:01-10:00,16.6,89.9
D6-Flinders Street West/637 Flinders St (Docklands),70,East Bound, 7:01-8:00,9.7,95
D6-Flinders Street West/637 Flinders St (Docklands),70,East Bound, 7:31-8:30,19.4,91.7
D6-Flinders Street West/637 Flinders St (Docklands),70,East Bound, 8:01-9:00,24.9,94
D6-Flinders Street West/637 Flinders St (Docklands),70,East Bound, 8:31-9:30,22.8,95
D6-Flinders Street West/637 Flinders St (Docklands),70,East Bound, 9:01-10:00,16.6,89.9
D6-Flinders Street West/637 Flinders St (Docklands),75,East Bound, 7:01-8:00,9.7,95
D6-Flinders Street West/637 Flinders St (Docklands),75,East Bound, 7:31-8:30,19.4,91.7
D6-Flinders Street West/637 Flinders St (Docklands),75,East Bound, 8:01-9:00,24.9,94
D6-Flinders Street West/637 Flinders St (Docklands),75,East Bound, 8:31-9:30,22.8,95
D6-Flinders Street West/637 Flinders St (Docklands),75,East Bound, 9:01-10:00,16.6,89.9
D6-Flinders Street West/637 Flinders St (Docklands),30,West Bound,16:01-17:00,20.8,89.2
D6-Flinders Street West/637 Flinders St (Docklands),30,West Bound,16:31-17:30,21.6,85.4
D6-Flinders Street West/637 Flinders St (Docklands),30,West Bound,17:01-18:00,25.8,86.6
D6-Flinders Street West/637 Flinders St (Docklands),30,West Bound,17:31-18:30,24.9,89.9
D6-Flinders Street West/637 Flinders St (Docklands),30,West Bound,18:01-19:00,18.1,93.3
D6-Flinders Street West/637 Flinders St (Docklands),70,West Bound,16:01-17:00,20.8,89.2
D6-Flinders Street West/637 Flinders St (Docklands),70,West Bound,16:31-17:30,21.6,85.4
D6-Flinders Street West/637 Flinders St (Docklands),70,West Bound,17:01-18:00,25.8,86.6
D6-Flinders Street West/637 Flinders St (Docklands),70,West Bound,17:31-18:30,24.9,89.9
D6-Flinders Street West/637 Flinders St (Docklands),70,West Bound,18:01-19:00,18.1,93.3
D6-Flinders Street West/637 Flinders St (Docklands),75,West Bound,16:01-17:00,20.8,89.2
D6-Flinders Street West/637 Flinders St (Docklands),75,West Bound,16:31-17:30,21.6,85.4
D6-Flinders Street West/637 Flinders St (Docklands),75,West Bound,17:01-18:00,25.8,86.6
D6-Flinders Street West/637 Flinders St (Docklands),75,West Bound,17:31-18:30,24.9,89.9
D6-Flinders Street West/637 Flinders St (Docklands),75,West Bound,18:01-19:00,18.1,93.3
D1-Etihad Stadium/La Trobe St (Docklands),30,East Bound, 7:01-8:00,18.2,112.7
D1-Etihad Stadium/La Trobe St (Docklands),30,East Bound, 7:31-8:30,29.5,109
D1-Etihad Stadium/La Trobe St (Docklands),30,East Bound, 8:01-9:00,33.8,110
D1-Etihad Stadium/La Trobe St (Docklands),30,East Bound, 8:31-9:30,24.5,106.5
D1-Etihad Stadium/La Trobe St (Docklands),30,East Bound, 9:01-10:00,18.9,103.8
D1-Etihad Stadium/La Trobe St (Docklands),35,East Bound, 7:01-8:00,18.2,112.7
D1-Etihad Stadium/La Trobe St (Docklands),35,East Bound, 7:31-8:30,29.5,109
D1-Etihad Stadium/La Trobe St (Docklands),35,East Bound, 8:01-9:00,33.8,110
D1-Etihad Stadium/La Trobe St (Docklands),35,East Bound, 8:31-9:30,24.5,106.5
D1-Etihad Stadium/La Trobe St (Docklands),35,East Bound, 9:01-10:00,18.9,103.8
D1-Etihad Stadium/La Trobe St (Docklands),86,East Bound, 7:01-8:00,18.2,112.7
D1-Etihad Stadium/La Trobe St (Docklands),86,East Bound, 7:31-8:30,29.5,109
D1-Etihad Stadium/La Trobe St (Docklands),86,East Bound, 8:01-9:00,33.8,110
D1-Etihad Stadium/La Trobe St (Docklands),86,East Bound, 8:31-9:30,24.5,106.5
D1-Etihad Stadium/La Trobe St (Docklands),86,East Bound, 9:01-10:00,18.9,103.8
D1-Etihad Stadium/La Trobe St (Docklands),30,West Bound,16:01-17:00,28,106.3
D1-Etihad Stadium/La Trobe St (Docklands),30,West Bound,16:31-17:30,27.6,108.2
D1-Etihad Stadium/La Trobe St (Docklands),30,West Bound,17:01-18:00,27.2,105.9
D1-Etihad Stadium/La Trobe St (Docklands),30,West Bound,17:31-18:30,27,112.5
D1-Etihad Stadium/La Trobe St (Docklands),30,West Bound,18:01-19:00,31.5,123.8
D1-Etihad Stadium/La Trobe St (Docklands),35,West Bound,16:01-17:00,28,106.3
D1-Etihad Stadium/La Trobe St (Docklands),35,West Bound,16:31-17:30,27.6,108.2
D1-Etihad Stadium/La Trobe St (Docklands),35,West Bound,17:01-18:00,27.2,105.9
D1-Etihad Stadium/La Trobe St (Docklands),35,West Bound,17:31-18:30,27,112.5
D1-Etihad Stadium/La Trobe St (Docklands),35,West Bound,18:01-19:00,31.5,123.8
D1-Etihad Stadium/La Trobe St (Docklands),86,West Bound,16:01-17:00,28,106.3
D1-Etihad Stadium/La Trobe St (Docklands),86,West Bound,16:31-17:30,27.6,108.2
D1-Etihad Stadium/La Trobe St (Docklands),86,West Bound,17:01-18:00,27.2,105.9
D1-Etihad Stadium/La Trobe St (Docklands),86,West Bound,17:31-18:30,27,112.5
D1-Etihad Stadium/La Trobe St (Docklands),86,West Bound,18:01-19:00,31.5,123.8
112-Lygon St/Elgin St (Carlton),1,South Bound, 7:01-8:00,52.3,82.8
112-Lygon St/Elgin St (Carlton),1,South Bound, 7:31-8:30,83.4,84.2
112-Lygon St/Elgin St (Carlton),1,South Bound, 8:01-9:00,97.8,83.6
112-Lygon St/Elgin St (Carlton),1,South Bound, 8:31-9:30,86.4,83.8
112-Lygon St/Elgin St (Carlton),1,South Bound, 9:01-10:00,65.8,86.8
112-Lygon St/Elgin St (Carlton),6,South Bound, 7:01-8:00,52.3,82.8
112-Lygon St/Elgin St (Carlton),6,South Bound, 7:31-8:30,83.4,84.2
112-Lygon St/Elgin St (Carlton),6,South Bound, 8:01-9:00,97.8,83.6
112-Lygon St/Elgin St (Carlton),6,South Bound, 8:31-9:30,86.4,83.8
112-Lygon St/Elgin St (Carlton),6,South Bound, 9:01-10:00,65.8,86.8
112-Lygon St/Elgin St (Carlton),1,North Bound,16:01-17:00,51.5,86.3
112-Lygon St/Elgin St (Carlton),1,North Bound,16:31-17:30,58,87.6
112-Lygon St/Elgin St (Carlton),1,North Bound,17:01-18:00,67,85.7
112-Lygon St/Elgin St (Carlton),1,North Bound,17:31-18:30,74.3,80
112-Lygon St/Elgin St (Carlton),1,North Bound,18:01-19:00,83,82
112-Lygon St/Elgin St (Carlton),6,North Bound,16:01-17:00,51.5,86.3
112-Lygon St/Elgin St (Carlton),6,North Bound,16:31-17:30,58,87.6
112-Lygon St/Elgin St (Carlton),6,North Bound,17:01-18:00,67,85.7
112-Lygon St/Elgin St (Carlton),6,North Bound,17:31-18:30,74.3,80
112-Lygon St/Elgin St (Carlton),6,North Bound,18:01-19:00,83,82
11-Errol St/Victoria St (Melbourne City),57,South Bound, 7:01-8:00,49.1,60
11-Errol St/Victoria St (Melbourne City),57,South Bound, 7:31-8:30,57.8,60
11-Errol St/Victoria St (Melbourne City),57,South Bound, 8:01-9:00,56.9,60
11-Errol St/Victoria St (Melbourne City),57,South Bound, 8:31-9:30,52.9,60
11-Errol St/Victoria St (Melbourne City),57,South Bound, 9:01-10:00,43.4,60
11-Errol St/Victoria St (Melbourne City),57,North Bound,16:01-17:00,35.7,60
11-Errol St/Victoria St (Melbourne City),57,North Bound,16:31-17:30,39.3,60
11-Errol St/Victoria St (Melbourne City),57,North Bound,17:01-18:00,41.3,60
11-Errol St/Victoria St (Melbourne City),57,North Bound,17:31-18:30,42.7,60
11-Errol St/Victoria St (Melbourne City),57,North Bound,18:01-19:00,49.8,60
6-Russell St/Flinders St (Melbourne City),35,West Bound, 7:01-8:00,45.1,93.9
6-Russell St/Flinders St (Melbourne City),35,West Bound, 7:31-8:30,63.2,92.5
6-Russell St/Flinders St (Melbourne City),35,West Bound, 8:01-9:00,73.6,89.1
6-Russell St/Flinders St (Melbourne City),35,West Bound, 8:31-9:30,63,93.3
6-Russell St/Flinders St (Melbourne City),35,West Bound, 9:01-10:00,48.1,93.3
6-Russell St/Flinders St (Melbourne City),70,West Bound, 7:01-8:00,45.1,93.9
6-Russell St/Flinders St (Melbourne City),70,West Bound, 7:31-8:30,63.2,92.5
6-Russell St/Flinders St (Melbourne City),70,West Bound, 8:01-9:00,73.6,89.1
6-Russell St/Flinders St (Melbourne City),70,West Bound, 8:31-9:30,63,93.3
6-Russell St/Flinders St (Melbourne City),70,West Bound, 9:01-10:00,48.1,93.3
6-Russell St/Flinders St (Melbourne City),75,West Bound, 7:01-8:00,45.1,93.9
6-Russell St/Flinders St (Melbourne City),75,West Bound, 7:31-8:30,63.2,92.5
6-Russell St/Flinders St (Melbourne City),75,West Bound, 8:01-9:00,73.6,89.1
6-Russell St/Flinders St (Melbourne City),75,West Bound, 8:31-9:30,63,93.3
6-Russell St/Flinders St (Melbourne City),75,West Bound, 9:01-10:00,48.1,93.3
6-Russell St/Flinders St (Melbourne City),35,East Bound,16:01-17:00,43.1,89.2
6-Russell St/Flinders St (Melbourne City),35,East Bound,16:31-17:30,49.7,89.7
6-Russell St/Flinders St (Melbourne City),35,East Bound,17:01-18:00,59,89.9
6-Russell St/Flinders St (Melbourne City),35,East Bound,17:31-18:30,63.7,89.1
6-Russell St/Flinders St (Melbourne City),35,East Bound,18:01-19:00,60.1,86.4
6-Russell St/Flinders St (Melbourne City),70,East Bound,16:01-17:00,43.1,89.2
6-Russell St/Flinders St (Melbourne City),70,East Bound,16:31-17:30,49.7,89.7
6-Russell St/Flinders St (Melbourne City),70,East Bound,17:01-18:00,59,89.9
6-Russell St/Flinders St (Melbourne City),70,East Bound,17:31-18:30,63.7,89.1
6-Russell St/Flinders St (Melbourne City),70,East Bound,18:01-19:00,60.1,86.4
6-Russell St/Flinders St (Melbourne City),75,East Bound,16:01-17:00,43.1,89.2
6-Russell St/Flinders St (Melbourne City),75,East Bound,16:31-17:30,49.7,89.7
6-Russell St/Flinders St (Melbourne City),75,East Bound,17:01-18:00,59,89.9
6-Russell St/Flinders St (Melbourne City),75,East Bound,17:31-18:30,63.7,89.1
6-Russell St/Flinders St (Melbourne City),75,East Bound,18:01-19:00,60.1,86.4
9-Haymarket/Elizabeth St (Melbourne City),19,South Bound, 7:01-8:00,61.6,120
9-Haymarket/Elizabeth St (Melbourne City),19,South Bound, 7:31-8:30,72.5,118.9
9-Haymarket/Elizabeth St (Melbourne City),19,South Bound, 8:01-9:00,75.3,117.9
9-Haymarket/Elizabeth St (Melbourne City),19,South Bound, 8:31-9:30,71.8,118.1
9-Haymarket/Elizabeth St (Melbourne City),19,South Bound, 9:01-10:00,60.9,119.1
9-Haymarket/Elizabeth St (Melbourne City),59,South Bound, 7:01-8:00,77.3,107.1
9-Haymarket/Elizabeth St (Melbourne City),59,South Bound, 7:31-8:30,94.9,110
9-Haymarket/Elizabeth St (Melbourne City),59,South Bound, 8:01-9:00,96,110
9-Haymarket/Elizabeth St (Melbourne City),59,South Bound, 8:31-9:30,98.4,110
9-Haymarket/Elizabeth St (Melbourne City),59,South Bound, 9:01-10:00,91,106.3
9-Haymarket/Elizabeth St (Melbourne City),19,North Bound,16:01-17:00,56.1,118.9
9-Haymarket/Elizabeth St (Melbourne City),19,North Bound,16:31-17:30,67.9,118.5
9-Haymarket/Elizabeth St (Melbourne City),19,North Bound,17:01-18:00,85.5,117.5
9-Haymarket/Elizabeth St (Melbourne City),19,North Bound,17:31-18:30,81.1,118.1
9-Haymarket/Elizabeth St (Melbourne City),19,North Bound,18:01-19:00,81.2,118.5
9-Haymarket/Elizabeth St (Melbourne City),59,North Bound,16:01-17:00,72.3,110
9-Haymarket/Elizabeth St (Melbourne City),59,North Bound,16:31-17:30,78.2,110
9-Haymarket/Elizabeth St (Melbourne City),59,North Bound,17:01-18:00,86.9,110
9-Haymarket/Elizabeth St (Melbourne City),59,North Bound,17:31-18:30,93.5,110
9-Haymarket/Elizabeth St (Melbourne City),59,North Bound,18:01-19:00,102.1,110
8-Peel St/Victoria St (Melbourne City),58,South Bound, 7:01-8:00,61.6,85.7
8-Peel St/Victoria St (Melbourne City),58,South Bound, 7:31-8:30,82.1,82.8
8-Peel St/Victoria St (Melbourne City),58,South Bound, 8:01-9:00,83,84.9
8-Peel St/Victoria St (Melbourne City),58,South Bound, 8:31-9:30,85.3,84.2
8-Peel St/Victoria St (Melbourne City),58,South Bound, 9:01-10:00,76.7,85.6
8-Peel St/Victoria St (Melbourne City),58,North Bound,16:01-17:00,59.7,88.1
8-Peel St/Victoria St (Melbourne City),58,North Bound,16:31-17:30,60.2,86.4
8-Peel St/Victoria St (Melbourne City),58,North Bound,17:01-18:00,71,88
8-Peel St/Victoria St (Melbourne City),58,North Bound,17:31-18:30,76.9,88.8
